,Robert,Søren,Amir,Rasmus,Leo,Martin,PeterK,JakobV,PeterS,Kenny,James,AndersK,Anton,PeterC,JacobE,Andreas,John,Aleks,Mateo,Karunya,Poul,Mahmood,Mikael,info
2024-06-14 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Start!
2024-06-14 21:00:00,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,0.0,1.0,1.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,A: Germany-Scotland
2024-06-15 15:00:00,5.0,8.0,5.0,5.0,10.0,9.0,6.0,6.0,10.0,1.0,1.0,5.0,9.0,9.0,10.0,9.0,12.0,5.0,5.0,5.0,5.0,10.0,6.0,A: Hungary-Switzerland
2024-06-15 18:00:00,9.0,13.0,6.0,10.0,17.0,10.0,11.0,10.0,11.0,6.0,6.0,10.0,13.0,13.0,15.0,10.0,13.0,10.0,5.0,5.0,9.0,15.0,6.0,B: Spain-Croatia
2024-06-15 21:00:00,13.0,18.0,10.0,15.0,22.0,15.0,18.0,14.0,18.0,10.0,10.0,15.0,17.0,17.0,20.0,17.0,18.0,14.0,10.0,9.0,13.0,20.0,11.0,B: Italy-Albania
2024-06-16 15:00:00,18.0,25.0,14.0,16.0,29.0,20.0,22.0,21.0,25.0,15.0,17.0,19.0,17.0,18.0,24.0,22.0,23.0,15.0,15.0,13.0,17.0,27.0,16.0,D: Poland-Netherlands
2024-06-16 18:00:00,19.0,26.0,15.0,17.0,30.0,21.0,23.0,22.0,26.0,16.0,18.0,19.0,18.0,19.0,25.0,22.0,24.0,15.0,16.0,14.0,18.0,28.0,17.0,C: Slovenia-Denmark
2024-06-16 21:00:00,24.0,31.0,22.0,21.0,31.0,26.0,30.0,27.0,30.0,23.0,22.0,23.0,23.0,26.0,29.0,26.0,28.0,19.0,20.0,18.0,25.0,33.0,18.0,C: Serbia-England
2024-06-17 15:00:00,25.0,31.0,22.0,21.0,31.0,26.0,35.0,27.0,30.0,23.0,22.0,23.0,23.0,26.0,29.0,26.0,28.0,19.0,20.0,18.0,26.0,33.0,18.0,E: Romania-Ukraine
2024-06-17 18:00:00,25.0,31.0,22.0,21.0,31.0,27.0,35.0,27.0,30.0,23.0,22.0,24.0,23.0,26.0,30.0,26.0,29.0,20.0,20.0,18.0,26.0,33.0,19.0,E: Belgium-Slovakia
2024-06-17 21:00:00,29.0,36.0,29.0,25.0,36.0,32.0,42.0,31.0,34.0,27.0,27.0,28.0,27.0,31.0,34.0,30.0,33.0,25.0,24.0,22.0,33.0,37.0,20.0,D: Austria-France
2024-06-18 18:00:00,33.0,40.0,30.0,25.0,40.0,36.0,46.0,36.0,35.0,31.0,28.0,35.0,31.0,35.0,39.0,34.0,37.0,26.0,31.0,26.0,37.0,41.0,24.0,F: Turkey-Georgia
2024-06-18 21:00:00,40.0,45.0,34.0,26.0,44.0,41.0,53.0,43.0,39.0,36.0,35.0,42.0,36.0,40.0,44.0,41.0,42.0,31.0,36.0,31.0,41.0,48.0,28.0,F: Portugal-Czech Republic
2024-06-19 15:00:00,41.0,46.0,34.0,27.0,45.0,42.0,57.0,44.0,40.0,36.0,35.0,43.0,43.0,41.0,44.0,41.0,42.0,32.0,37.0,32.0,41.0,49.0,28.0,B: Croatia-Albania
2024-06-19 18:00:00,46.0,53.0,39.0,32.0,52.0,47.0,62.0,51.0,44.0,40.0,39.0,47.0,48.0,48.0,48.0,46.0,47.0,32.0,41.0,33.0,46.0,56.0,33.0,A: Germany-Hungary
2024-06-19 21:00:00,50.0,53.0,40.0,32.0,59.0,51.0,69.0,52.0,48.0,41.0,43.0,54.0,55.0,48.0,49.0,47.0,48.0,32.0,42.0,34.0,47.0,63.0,33.0,A: Scotland-Switzerland
2024-06-20 15:00:00,51.0,60.0,41.0,36.0,66.0,52.0,76.0,53.0,49.0,42.0,44.0,55.0,62.0,49.0,50.0,51.0,49.0,36.0,46.0,41.0,48.0,70.0,37.0,C: Slovenia-Serbia
2024-06-20 18:00:00,52.0,67.0,42.0,37.0,73.0,53.0,83.0,60.0,56.0,42.0,45.0,62.0,69.0,50.0,54.0,52.0,50.0,43.0,47.0,45.0,55.0,77.0,38.0,C: Denmark-England
2024-06-20 21:00:00,52.0,74.0,49.0,38.0,74.0,53.0,84.0,61.0,63.0,43.0,46.0,63.0,70.0,51.0,54.0,59.0,54.0,43.0,51.0,49.0,62.0,78.0,39.0,B: Spain-Italy
2024-06-21 15:00:00,56.0,75.0,53.0,42.0,75.0,60.0,85.0,66.0,64.0,47.0,47.0,64.0,71.0,58.0,61.0,59.0,59.0,44.0,55.0,56.0,63.0,79.0,44.0,E: Slovakia-Ukraine
2024-06-21 18:00:00,57.0,76.0,57.0,42.0,75.0,61.0,86.0,66.0,64.0,48.0,48.0,65.0,72.0,58.0,61.0,60.0,63.0,45.0,55.0,61.0,64.0,80.0,44.0,D: Poland-Austria
2024-06-21 21:00:00,64.0,76.0,58.0,42.0,75.0,61.0,87.0,70.0,64.0,48.0,52.0,69.0,76.0,58.0,65.0,64.0,63.0,45.0,59.0,61.0,68.0,80.0,44.0,D: Netherlands-France
